,Loan Refusals,
Bank,W,M
Harris Trust ,20.90,3.70
NCNB Texas,23.20,5.50
Crestar,23.10,6.70
Mercantile ,30.40,9.00
First NB Commerce,42.70,13.90
Texas Commerce,62.20,20.60
Comerica,39.50,13.40
First of America ,38.40,13.20
Boatmanâ€™s National,26.20,9.30
First Commercial,55.90,21.00
Provident National,49.70,20.10
Worthen,44.60,19.10
Hibernia National ,36.40,16.00
Sovron,32.00,16.00
Bell Federal,10.60,5.60
Security Pacific Arizona,34.30,18.40
Core States,42.30,23.30
Citibank Arizona,26.50,15.60
Manufacturers Hanover,51.50,32.40
Chemical,47.20,29.70
